cmno,hallName,address,latitude,longitude,phone,representative,hallType,description,imageUrl
11,그랜드워커힐 그랜드볼룸,서울 광진구 워커힐로 177,37.5513,127.0837,02-455-5000,홍대표,GRAND,한강뷰를 품은 최고급 그랜드볼룸. 최대 600명 수용,hall_11_main.jpg
12,롯데타워 스카이31 웨딩홀,서울 송파구 올림픽로 300,37.5126,127.1024,02-3213-2000,박롯데,LUXURY,롯데월드타워 고층의 파노라마뷰 웨딩홀,hall_12_main.jpg
13,신라호텔 다이너스티홀,서울 중구 동호로 249,37.5573,127.0052,02-2233-3131,김신라,CLASSIC,전통과 품격의 신라호텔 클래식 웨딩홀,hall_13_main.jpg
14,파크하얏트 볼룸,서울 강남구 테헤란로 606,37.5083,127.0609,02-2016-1234,이하얏,LUXURY,강남 중심 최고급 파크하얏트 웨딩볼룸,hall_14_main.jpg
15,인터컨티넨탈 다이아몬드홀,서울 강남구 봉은사로 524,37.5104,127.0619,02-559-7777,최인터,GRAND,코엑스 인접 럭셔리 인터컨티넨탈 웨딩,hall_15_main.jpg
16,더플라자 크리스탈볼룸,서울 중구 태평로2가 23,37.5662,126.9779,02-771-2200,조플라,CLASSIC,시청 앞 역사 깊은 더플라자 크리스탈볼룸,hall_16_main.jpg
17,드래곤시티 드래곤볼룸,서울 용산구 청파로 20,37.5287,126.9639,02-2200-7000,류드래,MODERN,용산 랜드마크 대형 웨딩볼룸,hall_17_main.jpg
18,메이필드 로즈가든홀,서울 강서구 방화동 산 41,37.5555,126.7999,02-2660-9000,강메이,GARDEN,공항 인근 자연 정원 리조트 웨딩,hall_18_main.jpg
19,오크밸리 포레스트홀,강원도 원주시 지정면 오크밸리길 66,37.3997,128.0138,033-730-3500,황오크,RESORT,강원도 자연 속 리조트 웨딩홀,hall_19_main.jpg
20,해비치 오션뷰홀,제주시 표선면 민속해안로 537,33.3242,126.8437,064-780-8000,신해비,OCEAN,제주 바다뷰 프리미엄 리조트 웨딩,hall_20_main.jpg
